,te.ddrho,ti.ddrho,ti.flux
0,-1424.1470628784205,-3127.8342180193526,77417.3327429757
1,-1935.2377906970937,-3351.172298817583,112685.84425094524
2,-3905.2215061956895,-2730.2429836393067,185094.7364579448
3,-2447.1258252404928,-3050.64776542461,129683.60043984024
4,-4764.016006936646,-2576.4568294966984,212996.48200947646
5,-1750.9267843251364,-1814.9054178225629,55220.05240541601
6,-2765.381721331679,-1968.0361666299755,94528.26343527102
7,-4116.382506391505,-1778.417981530165,127073.41175379379
8,-4729.882930649756,-2271.3668001530896,186432.1476940874
9,-4841.0179096548045,-2070.974986533788,173969.28354630087
10,-1512.4695427718293,-3737.146548602139,98231.0737736691
11,-4442.406848174832,-1189.4728646118574,91709.25732778918
12,-4292.933703623109,-2531.878410412302,188654.4502551131
13,-3606.8144398129866,-1883.5955756841581,117955.4079939904
14,-3555.489960267926,-1608.1166574246968,99273.560964913
15,-2614.967919269594,-2380.0169396028323,108105.99807366564
16,-2520.269053034088,-2466.674097663842,107989.33213107698
17,-3338.4810067855587,-1903.314056207054,110336.46591481158
18,-4932.028208745807,-3565.159113895408,305103.6457532672
19,-4003.9564691751925,-1052.2504350909103,73136.79656770032
20,-3643.6759178193024,-3663.6295219329472,231766.3406590992
21,-3461.7085755597227,-2639.697958935649,158664.57238781074
22,-1350.5497407633684,-1518.51023691803,35643.68040231778
23,-1630.9153926240297,-1079.7056082644322,30600.986225414872
24,-1198.375383927697,-3413.6608964958614,71104.59402365005
25,-2558.386919911041,-3708.8691099808875,164824.71818008198
26,-2475.8474528980414,-1746.3437217078767,75107.72408369354
27,-1169.8677117873326,-2775.7910280272563,56443.45350993108
28,-3709.2787817239487,-2558.2730394211994,164748.85513400435
29,-3099.5890195461106,-1382.781426918792,74432.87682913177
30,-4543.673618552062,-2247.222150309465,177203.91188664746
31,-4829.090281953058,-3999.127320059927,335115.07164230867
32,-1931.9529952954722,-3484.604938788722,116973.91469246564
33,-2728.6204763920214,-3613.751504678576,171270.36933945387
34,-1327.6673044404997,-2899.104671978602,66897.81393338159
35,-2798.880840867215,-3892.9808192355313,189248.9762128671
36,-4008.2765774142986,-1862.6747979863276,129604.87385346883
37,-1651.010903300261,-1303.0287625805418,37385.10395046247
38,-3308.234121525677,-1184.4047424903101,68039.65255830977
39,-2080.6306965536373,-1464.5053367020628,52941.39531060725
40,-2243.2691395009388,-2441.1980454828713,95139.64934061862
41,-4720.59055248057,-3200.2749033827495,262161.31351489096
42,-2869.327931654662,-2845.5912628733086,141809.58398332648
43,-4113.930933751307,-3092.267216685361,220820.62025837327
44,-3869.7563328833785,-3450.8858383892625,231829.31778753336
45,-3628.893826188047,-3541.5475153118073,223135.84583771307
46,-1785.4495932480681,-2059.259963000568,63889.09742482533
47,-3168.256927207519,-3371.5623015842275,185500.50574383474
48,-1826.5953809183175,-1109.660807727902,35220.24915020387
49,-1064.616878495306,-2017.5478830240113,37336.02844984533
